1580. Akira Yamaoka - The Reverse Will [processor=172.16.112.22,exit=1,duration=4.29s]
1581. Akira Yamaoka - Theme Of Laura [processor=172.16.112.22,exit=1,duration=3.86s]
1582. Akira Yamaoka - Heaven's Night [processor=172.16.112.22,exit=1,duration=2.59s]
1583. Akira Yamaoka - Magdalene [processor=172.16.112.22,exit=1,duration=2.52s]
1584. Akira Yamaoka - Laura Plays The Piano [processor=localhost,exit=1,duration=4.22s]
1585. Akira Yamaoka - Theme Of Laura (Reprise) [processor=172.16.112.22,exit=1,duration=2.37s]
1586. Akira Yamaoka - Promise (Reprise) [processor=172.16.112.22,exit=1,duration=2.36s]
1587. Akira Yamaoka - Forest [processor=172.16.112.22,exit=1,duration=2.17s]
1588. Akira Yamaoka - Ordinary Vanity [processor=172.16.112.22,exit=1,duration=2.27s]
1589. Akira Yamaoka - Pianissimo Epilogue [processor=172.16.112.22,exit=1,duration=2.21s]
1590. Akira Yamaoka - White Noiz [processor=172.16.112.22,exit=1,duration=1.80s]
1866. Moses Hightower - Fer sem fer [processor=localhost,exit=0,duration=13.87s,speed=25.16x]
1867. Mt. Wolf - Climax [processor=localhost,exit=0,duration=13.00s,speed=22.51x]
1868. Unknown Artist - Mt. Wolf - Hypolight.mp3 [processor=localhost,exit=0,duration=11.05s,speed=25.52x]
1869. Unknown Artist - Mt.Wolf - Life Size Ghosts.mp3 [processor=localhost,exit=0,duration=9.46s,speed=26.32x]
1870. Unknown Artist - Natalie Merchant - Ground Control to Major Tom (OST The Secret Life of Walter Mitty).mp3 [processor=localhost,exit=0,duration=10.84s,speed=25.18x]
1871. NEON INDIAN - Polish Girl [processor=localhost,exit=0,duration=9.23s,speed=28.54x]
1872. Unknown Artist - NevenWood - Zero Trance.mp3 [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1872. Unknown Artist - NevenWood - Zero Trance.mp3 [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1873. Niva - Ghost In My Head [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1873. Niva - Ghost In My Head [processor=172.16.112.22,exit=65280,duration=0.02s,speed=0.00x]
1874. Novika feat. Smolik -  T. Time [processor=localhost,exit=0,duration=9.41s,speed=24.59x]
1873. Niva - Ghost In My Head [processor=localhost,exit=0,duration=6.98s,speed=21.54x]
1872. Unknown Artist - NevenWood - Zero Trance.mp3 [processor=localhost,exit=0,duration=22.24s,speed=23.03x]
1875. Of Monsters And Men - Little Talks [processor=localhost,exit=0,duration=11.38s,speed=23.24x]
1876. Unknown Artist - Oi Va Voi - Look-down.mp3 [processor=localhost,exit=0,duration=12.90s,speed=24.69x]
1877. Okinawa Lifestyle - Wir Sind In Der Zukunft Geblieben [processor=localhost,exit=0,duration=8.11s,speed=25.86x]
1878. Ólafur Arnalds - 1440 [processor=localhost,exit=0,duration=14.61s,speed=28.54x]
1879. Unknown Artist - Parachute Youth - Cant Get Better Than This (Original Mix).mp3 [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1880. Parov Stelar - Heavens Radio (feat. Y?akoto) [processor=localhost,exit=0,duration=8.64s,speed=21.81x]
1879. Unknown Artist - Parachute Youth - Cant Get Better Than This (Original Mix).mp3 [processor=localhost,exit=0,duration=13.55s,speed=22.29x]
1881. Parov Stelar - Josephine (feat. Anduze) [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1882. Pati Yang - Unquiet [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1881. Parov Stelar - Josephine (feat. Anduze) [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1882. Pati Yang - Unquiet [processor=localhost,exit=0,duration=8.15s,speed=25.89x]
1881. Parov Stelar - Josephine (feat. Anduze) [processor=localhost,exit=0,duration=8.49s,speed=22.11x]
1883. Pedestrian - Hei Poa [processor=localhost,exit=0,duration=14.47s,speed=21.50x]
1884. Unknown Artist - Peking Duk - The Way You Are.mp3 [processor=localhost,exit=0,duration=9.38s,speed=24.58x]
1885. Unknown Artist - Perry Como - Its Impossible.mp3 [processor=localhost,exit=0,duration=8.03s,speed=24.73x]
1886. Perry Como - Magic Moments [processor=localhost,exit=0,duration=6.82s,speed=23.69x]
1887. Unknown Artist - Peter Joseph - Zeitgeist.mp3 [processor=localhost,exit=0,duration=4.55s,speed=33.08x]
1888. Poliça - I See My Mother [processor=localhost,exit=0,duration=10.25s,speed=25.97x]
1889. Porcupine Tree - Lazarus [processor=localhost,exit=0,duration=9.94s,speed=26.02x]
1890. Pornopop - My bed = my gravity [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1890. Pornopop - My bed = my gravity [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1890. Pornopop - My bed = my gravity [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1890. Pornopop - My bed = my gravity [processor=localhost,exit=0,duration=13.63s,speed=23.45x]
1891. Unknown Artist - Porter Robinson & Mat Zo - Easy.mp3 [processor=localhost,exit=0,duration=12.90s,speed=25.35x]
1892. Pretty Lights - Future Blind [processor=localhost,exit=0,duration=11.51s,speed=28.74x]
1893. Puff Daddy & Faith feat. 112 - I`ll Be Missing You [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1893. Puff Daddy & Faith feat. 112 - I`ll Be Missing You [processor=localhost,exit=0,duration=10.86s,speed=28.75x]
1894. Quok - Utro (Jan Amit Remix) [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1895. Unknown Artist - Ram Jam - Black Betty.mp3 [processor=172.16.112.22,exit=65280,duration=0.02s,speed=0.00x]
1894. Quok - Utro (Jan Amit Remix) [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1895. Unknown Artist - Ram Jam - Black Betty.mp3 [processor=localhost,exit=0,duration=6.41s,speed=23.66x]
1894. Quok - Utro (Jan Amit Remix) [processor=localhost,exit=0,duration=12.59s,speed=20.15x]
1896. Artist1 - Track10 [processor=localhost,exit=0,duration=11.93s,speed=22.59x]
1898. Unknown Artist - Robert Palmer - Love Is (The Tender Trap).mp3 [processor=localhost,exit=0,duration=6.91s,speed=22.15x]
1897. Robert Miles - Orchid Miracle [processor=localhost,exit=0,duration=13.01s,speed=24.60x]
1899. Ronan Keating - Time After Time [processor=localhost,exit=0,duration=9.24s,speed=27.11x]
1900. Unknown Artist - Rondo Veneziano - Musica... Fantasia.mp3 [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1900. Unknown Artist - Rondo Veneziano - Musica... Fantasia.mp3 [processor=localhost,exit=0,duration=5.87s,speed=28.95x]
1902. Unknown Artist - SAMBA - Без названия.mp3 [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1902. Unknown Artist - SAMBA - Без названия.mp3 [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1901. Rudi Arapahoe - Lunar Semaphore & Pleroma [processor=localhost,exit=0,duration=20.09s,speed=23.24x]
1902. Unknown Artist - SAMBA - Без названия.mp3 [processor=localhost,exit=0,duration=7.55s,speed=28.84x]
1903. Screenatorium - Silent Disaster [processor=localhost,exit=0,duration=9.26s,speed=26.94x]
1904. Seal - Kiss from a rose [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1904. Seal - Kiss from a rose [processor=localhost,exit=0,duration=11.05s,speed=26.07x]
1905. Sera Cahoone - Anyway You Like [processor=localhost,exit=0,duration=9.99s,speed=25.38x]
1906. Sera Cahoone - Baker Lake [processor=localhost,exit=0,duration=9.60s,speed=26.01x]
1907. Sera Cahoone - Deer Creek Canyon [processor=localhost,exit=0,duration=7.85s,speed=25.34x]
1908. Sera Cahoone - Every Little Word [processor=localhost,exit=0,duration=7.93s,speed=26.00x]
1909. Sera Cahoone - Naked [processor=localhost,exit=0,duration=7.72s,speed=26.66x]
1910. Sera Cahoone - Rumpshaker [processor=localhost,exit=0,duration=6.47s,speed=26.93x]
1911. Sheryl Crow - All I Wanna Do [processor=localhost,exit=0,duration=10.37s,speed=26.24x]
1912. Sismo - Palma Roja [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1913. Slakker - Ïðîñòî [processor=localhost,exit=0,duration=4.18s,speed=25.40x]
1912. Sismo - Palma Roja [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1912. Sismo - Palma Roja [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1914. Smolik - 0.0 [processor=172.16.112.22,exit=65280,duration=0.03s,speed=0.00x]
1912. Sismo - Palma Roja [processor=localhost,exit=0,duration=12.63s,speed=28.17x]
1914. Smolik - 0.0 [processor=localhost,exit=0,duration=15.37s,speed=21.41x]
1915. Smolik - 50 Trees Feat. Novika & Artur Rojek [processor=localhost,exit=0,duration=10.53s,speed=23.74x]
1916. Smolik - A Million Cheap Tricks Feat. Maya Singh [processor=localhost,exit=0,duration=9.74s,speed=24.63x]
1917. Smolik - B.rain [processor=localhost,exit=0,duration=10.10s,speed=23.28x]
1918. Unknown Artist - Smolik - Close Your Eyes.mp3 [processor=localhost,exit=0,duration=8.34s,speed=24.87x]
1919. Smolik - Cmyk (Feat. Victor Davies) [processor=localhost,exit=0,duration=10.72s,speed=26.54x]
1920. Smolik - Cye Feat. Kasia Kurzewska [processor=localhost,exit=0,duration=7.64s,speed=26.93x]
1921. Smolik - Enjoy The Sound Feat. Mika [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1921. Smolik - Enjoy The Sound Feat. Mika [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1921. Smolik - Enjoy The Sound Feat. Mika [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1922. Smolik - Forget Me Not [processor=172.16.112.22,exit=65280,duration=0.03s,speed=0.00x]
1921. Smolik - Enjoy The Sound Feat. Mika [processor=localhost,exit=0,duration=11.34s,speed=22.08x]
1922. Smolik - Forget Me Not [processor=localhost,exit=0,duration=9.64s,speed=21.51x]
1923. Smolik - Kremowa Rewolucja [processor=localhost,exit=0,duration=8.93s,speed=25.33x]
1924. Smolik - Med 2 [processor=localhost,exit=0,duration=10.60s,speed=25.95x]
1925. Smolik - Memotion feat. Mika Urbaniak [processor=localhost,exit=0,duration=12.00s,speed=25.81x]
1926. Smolik - Missed [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1926. Smolik - Missed [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1927. Smolik - Not Always Happy feat. Joao T. de Sousa [processor=172.16.112.22,exit=65280,duration=0.02s,speed=0.00x]
1926. Smolik - Missed [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1926. Smolik - Missed [processor=localhost,exit=0,duration=10.56s,speed=21.50x]
1927. Smolik - Not Always Happy feat. Joao T. de Sousa [processor=localhost,exit=0,duration=13.82s,speed=23.39x]
1928. Smolik - Piratsong feat. Sqbass [processor=localhost,exit=0,duration=9.84s,speed=27.25x]
1929. Smolik - S.Dreams Feat. Sofa [processor=localhost,exit=0,duration=17.30s,speed=25.77x]
1930. Smolik - Sip Feat. Marsija [processor=localhost,exit=0,duration=11.77s,speed=23.94x]
1931. Smolik - Sip Feat. Marsija [processor=localhost,exit=0,duration=11.42s,speed=24.69x]
1933. Smolik - U Missing Feat. Victor Davies [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1932. Unknown Artist - Smolik - Sweet Dreams.mp3 [processor=localhost,exit=0,duration=16.89s,speed=26.39x]
1933. Smolik - U Missing Feat. Victor Davies [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1934. Unknown Artist - Smolik feat Gaba Kulka - SOS Songs.mp3 [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1934. Unknown Artist - Smolik feat Gaba Kulka - SOS Songs.mp3 [processor=172.16.112.22,exit=65280,duration=0.03s,speed=0.00x]
1933. Smolik - U Missing Feat. Victor Davies [processor=localhost,exit=0,duration=8.96s,speed=26.03x]
1934. Unknown Artist - Smolik feat Gaba Kulka - SOS Songs.mp3 [processor=localhost,exit=0,duration=10.63s,speed=30.43x]
1935. Smolik feat. Mika - All I [processor=localhost,exit=0,duration=9.54s,speed=21.75x]
1936. Smolik feat. Mika Urbaniak - Enjoy The Sound [processor=localhost,exit=0,duration=9.43s,speed=26.36x]
1937. Various Artists - Pinacolada 1 - The Very Best Of Radio Pin - Cd2 - Smolik Feat. Mika Urbaniak - Om [processor=localhost,exit=0,duration=7.18s,speed=24.76x]
1938. Stereoboy - Beetlebum (blur cover) [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1938. Stereoboy - Beetlebum (blur cover) [processor=localhost,exit=0,duration=11.43s,speed=25.21x]
1939. Sting - Brand New Day [processor=localhost,exit=0,duration=14.04s,speed=27.09x]
1940. Sting - Englishman In New York [processor=localhost,exit=0,duration=10.43s,speed=25.74x]
1941. Sting - Mad About You [processor=localhost,exit=0,duration=8.97s,speed=26.02x]
1942. Sting - Roxanne [processor=localhost,exit=0,duration=8.46s,speed=25.72x]
1943. Sting - Untill [processor=localhost,exit=0,duration=6.85s,speed=27.75x]
1944. Unknown Artist - Submotion Orchestra - Bird Of Prey.mp3 [processor=localhost,exit=0,duration=10.98s,speed=27.04x]
1945. Sudden Weather Change - Beatlemania [processor=localhost,exit=0,duration=11.30s,speed=26.92x]
1946. Sunsay - От тебя [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1946. Sunsay - От тебя [processor=localhost,exit=0,duration=9.20s,speed=25.72x]
1947. Tears For Fears - Mad World [1982 original] [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1947. Tears For Fears - Mad World [1982 original] [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1947. Tears For Fears - Mad World [1982 original] [processor=172.16.112.22,exit=65280,duration=0.03s,speed=0.00x]
1947. Tears For Fears - Mad World [1982 original] [processor=localhost,exit=0,duration=8.72s,speed=24.30x]
1948. Terranova - Walk With Me [processor=localhost,exit=0,duration=11.11s,speed=20.59x]
1949. The Beatles - Something [processor=localhost,exit=0,duration=8.16s,speed=22.42x]
1950. The Beatles - Strawberry Fields Forever [processor=localhost,exit=0,duration=9.46s,speed=26.48x]
1951. Unknown Artist - The Cinematic Orchestra - Time & Space (feat. Lou Rhodes).mp3 [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1952. The Cinematic Orchestra - Time And Space feat Lou Rhodes [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1951. Unknown Artist - The Cinematic Orchestra - Time & Space (feat. Lou Rhodes).mp3 [processor=localhost,exit=0,duration=19.08s,speed=27.39x]
1952. The Cinematic Orchestra - Time And Space feat Lou Rhodes [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1953. The Cinematic Orchestra - Crimson Skies (feat. Lou Rhodes) [processor=172.16.112.22,exit=65280,duration=0.03s,speed=0.00x]
1953. The Cinematic Orchestra - Crimson Skies (feat. Lou Rhodes) [processor=localhost,exit=0,duration=9.90s,speed=20.64x]
1952. The Cinematic Orchestra - Time And Space feat Lou Rhodes [processor=localhost,exit=0,duration=20.50s,speed=25.51x]
1954. The Contours - Do You Love Me [processor=localhost,exit=0,duration=7.19s,speed=24.01x]
1955. The Lumineers - Stubborn Love [processor=localhost,exit=0,duration=10.52s,speed=26.54x]
1956. The National - I Need My Girl [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1957. Prodigi - Speed fire [processor=localhost,exit=0,duration=12.55s,speed=24.53x]
1956. The National - I Need My Girl [processor=localhost,exit=0,duration=11.93s,speed=20.67x]
1958. The Q4 - One Of These Days [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1961. Unknown Artist - The Way to Xibalba - Dream.mp3 [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1958. The Q4 - One Of These Days [processor=172.16.112.22,exit=65280,duration=0.03s,speed=0.00x]
1960. OST - Snatch - The Stranglers - Golden Brown [processor=localhost,exit=0,duration=9.41s,speed=21.70x]
1959. Unknown Artist - The Rabbit In The Hat - The Sea (EP).mp3 [processor=localhost,exit=0,duration=9.91s,speed=22.98x]
1961. Unknown Artist - The Way to Xibalba - Dream.mp3 [processor=localhost,exit=0,duration=6.64s,speed=21.72x]
1958. The Q4 - One Of These Days [processor=localhost,exit=0,duration=10.30s,speed=22.76x]
1962. Thegntlmn - Take Me With You [processor=localhost,exit=0,duration=5.71s,speed=18.11x]
1964. Toggi - Wonderful [processor=localhost,exit=0,duration=8.56s,speed=23.22x]
1963. Soundtrack - Tito And Tarantula / After Dark [processor=localhost,exit=0,duration=12.06s,speed=20.83x]
1966. Unknown Artist - Unselect - abc.mp3 [processor=localhost,exit=0,duration=6.76s,speed=19.27x]
1965. tyDi ft Tania Zygar - Why Do I Care (Radio Mix) [processor=localhost,exit=0,duration=8.91s,speed=21.69x]
1967. Vanilla - Azure [processor=localhost,exit=0,duration=8.48s,speed=21.53x]
1968. Volcano Choir - Island, IS [processor=localhost,exit=0,duration=10.45s,speed=23.81x]
1969. WASHED OUT - Amor Fati [processor=localhost,exit=0,duration=10.65s,speed=25.00x]
1971. Unknown Artist - William Fitzsimmons - Beautiful Girl (Demetrio Da Soto Midnight Remix).mp3 [processor=localhost,exit=0,duration=10.21s,speed=22.30x]
1972. William Fitzsimmons - Let You Break (feat Leigh Nash) [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1970. Wil Bolton - Slate [processor=localhost,exit=0,duration=20.71s,speed=25.31x]
1972. William Fitzsimmons - Let You Break (feat Leigh Nash) [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1972. William Fitzsimmons - Let You Break (feat Leigh Nash) [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1972. William Fitzsimmons - Let You Break (feat Leigh Nash) [processor=172.16.112.22,exit=65280,duration=0.03s,speed=0.00x]
1973. Wolfgang Amadeus Mozart - II. Romance (Andante) [processor=localhost,exit=0,duration=14.01s,speed=23.04x]
1972. William Fitzsimmons - Let You Break (feat Leigh Nash) [processor=localhost,exit=0,duration=8.83s,speed=22.94x]
1974. Unknown Artist - Work Drugs - Young Lungs.mp3 [processor=localhost,exit=0,duration=7.86s,speed=30.53x]
1975. Zero Cult - Redreaming [processor=localhost,exit=0,duration=19.86s,speed=23.44x]
1976. Soundtracks - Àëåêñåé Ðûáíèêîâ - Âñòðå÷à [processor=localhost,exit=0,duration=9.53s,speed=23.33x]
1977. Unknown Artist - Глинка Михаил Иванович club13333245 - Руслан и Людмила, увертюра.mp3 [processor=localhost,exit=0,duration=12.13s,speed=27.64x]
1978. Unknown Artist - Земфира - Бесконечность.mp3 [processor=localhost,exit=0,duration=12.91s,speed=23.57x]
1979. Zåìôèðà - Блюз [processor=localhost,exit=0,duration=9.26s,speed=22.54x]
1980. Çåìôèðà - Земфира - Доказано.mp3 [processor=localhost,exit=0,duration=8.93s,speed=22.33x]
1981. Unknown Artist - Земфира - Ее звали Мечтой.mp3 [processor=localhost,exit=0,duration=7.09s,speed=24.28x]
1982. Земфира - Жить в твоей голове [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1983. Çåìôèðà - Êðàñîòà [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1984. Çåìôèðà - -140 [processor=172.16.112.22,exit=65280,duration=0.03s,speed=0.00x]
1982. Земфира - Жить в твоей голове [processor=localhost,exit=0,duration=12.88s,speed=25.22x]
1983. Çåìôèðà - Êðàñîòà [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1984. Çåìôèðà - -140 [processor=localhost,exit=0,duration=10.45s,speed=22.27x]
1983. Çåìôèðà - Êðàñîòà [processor=localhost,exit=0,duration=8.93s,speed=21.41x]
1985. Çåìôèðà - Ìîñêâà ("Äà! Òåïåðü ðåøåíî. Áåç âîçâðàòà...") [processor=localhost,exit=0,duration=8.35s,speed=22.67x]
1986. Земфира - мы разбиваемся [processor=localhost,exit=0,duration=8.37s,speed=24.16x]
1987. Unknown Artist - Земфира - Румба.mp3 [processor=localhost,exit=0,duration=7.33s,speed=25.86x]
1988. Земфира - Чайка [processor=localhost,exit=0,duration=8.09s,speed=25.23x]
1989. Unknown Artist - Людмила Сенчина - Спасибо вам, люди.mp3 [processor=localhost,exit=0,duration=8.41s,speed=24.99x]
1990. Unknown Artist - М.Глинка - Ноктюрн Разлука.mp3 [processor=localhost,exit=0,duration=10.79s,speed=23.46x]
1992. Ìóëüòôèëüìû & Ñåí÷èíà Ëþäìèëà - Äåíü ðîæäåíèÿ [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1991. Unknown Artist - Машина Времени - Старые друзья.mp3 [processor=localhost,exit=0,duration=9.79s,speed=25.50x]
1992. Ìóëüòôèëüìû & Ñåí÷èíà Ëþäìèëà - Äåíü ðîæäåíèÿ [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
1992. Ìóëüòôèëüìû & Ñåí÷èíà Ëþäìèëà - Äåíü ðîæäåíèÿ [processor=172.16.112.22,exit=65280,duration=0.02s,speed=0.00x]
1993. Unknown Artist - Сергей Бабкин - Звездная пыль.mp3 [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1992. Ìóëüòôèëüìû & Ñåí÷èíà Ëþäìèëà - Äåíü ðîæäåíèÿ [processor=localhost,exit=0,duration=6.95s,speed=27.69x]
1993. Unknown Artist - Сергей Бабкин - Звездная пыль.mp3 [processor=localhost,exit=0,duration=10.45s,speed=25.09x]
1994. Êèíîøëÿãåðû - Ïðîùàëüíàÿ ïåñíÿ (Æèòü íå õî÷ó) [processor=localhost,exit=0,duration=3.76s,speed=30.80x]
1995. Unknown Artist - - Надежда.mp3 [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1995. Unknown Artist - - Надежда.mp3 [processor=172.16.112.22,exit=65280,duration=0.03s,speed=0.00x]
1996. Из к/ф "Не Покидай!" - Не Покидай [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1998. ê/ô "Íå ïîêèäàé" - Ïåñíÿ î ñ÷àñòüå [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
1997. ê/ô "Íå ïîêèäàé"/ê/ô "Íå ïîêèäàé" - Ïåñíÿ î âîëøåáíîé Ðîçå [processor=localhost,exit=0,duration=6.77s,speed=26.05x]
1995. Unknown Artist - - Надежда.mp3 [processor=localhost,exit=0,duration=6.33s,speed=24.50x]
1996. Из к/ф "Не Покидай!" - Не Покидай [processor=localhost,exit=0,duration=4.41s,speed=25.43x]
1999. The Shins - A Comet Appears [processor=localhost,exit=0,duration=9.66s,speed=23.42x]
1998. ê/ô "Íå ïîêèäàé" - Ïåñíÿ î ñ÷àñòüå [processor=localhost,exit=0,duration=5.36s,speed=25.30x]
2000. 5`nizza - Íåìàå êóëü [processor=localhost,exit=0,duration=7.95s,speed=21.32x]
2001. 5'NIZZA - Äîðîæêà 11 [processor=localhost,exit=0,duration=8.80s,speed=20.86x]
2002. Aaron Jerome - Dancing Girl (Feat Mozez) [processor=localhost,exit=0,duration=16.49s,speed=22.45x]
2004. Unknown Artist - Above & Beyond feat. Zoë Johnston - You Got To Go (Seven Lions Dubstep Remix).mp3 [processor=localhost,exit=0,duration=13.36s,speed=22.44x]
2003. Unknown Artist - Abe Duque feat. Virginia - Following My Heart - Tigerskin Remix.mp3 [processor=localhost,exit=0,duration=25.76s,speed=21.69x]
2005. Techno-Line - Ase Of Base - The Sing [processor=localhost,exit=0,duration=8.39s,speed=22.56x]
2006. Addic A6e6a - myzika c4actb9 [processor=localhost,exit=0,duration=10.37s,speed=24.40x]
2008. A-Ha - Summer moved on [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
2009. A-HA - The Sun Always Shines On T.V. [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
2010. Aimee Mann - Lucy in the Sky with Diamonds [processor=172.16.112.22,exit=65280,duration=5.02s,speed=0.00x]
2012. Air - Cherry Blossom Girl [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
2007. AGF/Delay - From Morning On [processor=localhost,exit=0,duration=14.21s,speed=21.20x]
2011. Air - All I Need [processor=localhost,exit=0,duration=12.93s,speed=20.75x]
2014. Akira Yamaoka - lost carol [processor=localhost,exit=0,duration=1.97s,speed=18.98x]
2013. Ñáîðíèê - Playground Love (Tracks Gordon [processor=localhost,exit=0,duration=10.18s,speed=20.83x]
2015. Unknown Artist - Alanis Morissette - She is a beautiful girl.mp3 [processor=localhost,exit=0,duration=9.46s,speed=21.16x]
2008. A-Ha - Summer moved on [processor=localhost,exit=0,duration=12.43s,speed=22.21x]
2009. A-HA - The Sun Always Shines On T.V. [processor=localhost,exit=0,duration=13.88s,speed=22.24x]
2010. Aimee Mann - Lucy in the Sky with Diamonds [processor=localhost,exit=0,duration=10.15s,speed=21.86x]
2012. Air - Cherry Blossom Girl [processor=localhost,exit=0,duration=10.54s,speed=20.86x]
2017. Alizbar & Christian Amin Varko - Melting snowflakes on her hand [processor=localhost,exit=0,duration=11.23s,speed=21.15x]
2016. Alice Cooper -  Ballad of Dwight Fry [processor=localhost,exit=0,duration=16.84s,speed=23.49x]
2020. Alt-J - Something Good [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
2021. alt-J - Fitzpleasure [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
2022. O.S.T - Track02 [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
2018. Alphaville - Forever Young [processor=localhost,exit=0,duration=10.32s,speed=21.92x]
2023. AMORABOY - RHCP vs Korgis - Everybody's got to learn under the bridge [processor=172.16.112.22,exit=65280,duration=5.05s,speed=0.00x]
2019. Alphawezen - Rain (Norbert Weadloaf Soundbridge) [processor=localhost,exit=0,duration=16.44s,speed=21.81x]
2024. Amr Diab - Heya Hayaty [processor=localhost,exit=0,duration=13.30s,speed=23.51x]
2025. And Also The Trees - Dialogue [processor=localhost,exit=0,duration=10.40s,speed=20.88x]
2026. And Also the Trees - Virus Meadow [processor=localhost,exit=0,duration=12.50s,speed=21.87x]
2027. VA - Angus & Julia Stone - Paper Aeroplane [processor=localhost,exit=0,duration=10.10s,speed=21.30x]
2028. angus and julia stone - Angus and Julia Stone - Im not yours.mp3 [processor=localhost,exit=0,duration=10.30s,speed=23.18x]
2029. Angus And Julia Stone - Just A Boy [processor=localhost,exit=0,duration=9.97s,speed=23.77x]
2020. Alt-J - Something Good [processor=localhost,exit=0,duration=10.20s,speed=21.13x]
2021. alt-J - Fitzpleasure [processor=localhost,exit=0,duration=9.90s,speed=22.16x]
2022. O.S.T - Track02 [processor=localhost,exit=0,duration=3.32s,speed=20.24x]
2023. AMORABOY - RHCP vs Korgis - Everybody's got to learn under the bridge [processor=localhost,exit=0,duration=11.46s,speed=21.67x]
2030. Unknown Artist - Angus and Julia Stone - Mango Tree.mp3 [processor=localhost,exit=0,duration=9.96s,speed=21.85x]
2031. Angus and Julia Stone - Silver Coin [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
2032. Angus And Julia Stone - The Devil's Tears [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
2033. Anna Netrebko - LLoyd Webber: Pie Jesu [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
2036. Unknown Artist - Òðåê  1 [processor=172.16.112.22,exit=65280,duration=5.03s,speed=0.00x]
2034. Anna Netrebko - Puccini, La Boheme - Quando Men Vo (Musetta's Waltz) [processor=localhost,exit=0,duration=6.99s,speed=22.75x]
